layer,z,current_ma,current_required_ma,current_clipped_by_min,current_clipped_by_max,travel_mm_min,wire_mm_s,energy_target_j_mm,energy_actual_j_mm,energy_j_mm3,pause_s,hatch_segments,contour_segments,hatch_length_mm,contour_length_mm
1,0.000,28.528,28.528,0,0,650.0,47.894,158.00,158.00,31.60,0.100,1,0,131.517,0.000
1,0.000,28.528,28.528,0,0,650.0,47.894,158.00,158.00,31.60,0.100,1,0,115.809,0.000
1,0.000,25.628,25.628,0,0,583.9,43.025,158.00,158.00,31.60,0.100,1,0,100.101,0.000
1,0.000,21.606,21.606,0,0,492.3,36.274,158.00,158.00,31.60,0.100,1,0,84.393,0.000
1,0.000,17.585,17.585,0,0,400.7,29.522,158.00,158.00,31.60,0.100,1,0,68.685,0.000
1,0.000,13.563,13.563,0,0,309.0,22.771,158.00,158.00,31.60,0.100,1,0,52.977,0.000
1,0.000,9.542,9.542,0,0,217.4,16.019,158.00,158.00,31.60,0.100,1,0,37.270,0.000
1,0.000,5.520,5.520,0,0,125.8,9.268,158.00,158.00,31.60,0.100,1,0,21.562,0.000
1,0.000,1.499,1.499,0,0,34.1,2.516,158.00,158.00,31.60,0.100,1,0,5.854,0.000
2,2.000,28.427,28.427,0,0,656.0,48.336,156.00,156.00,31.20,0.135,1,0,171.548,0.000
2,2.000,28.427,28.427,0,0,656.0,48.336,156.00,156.00,31.20,0.135,1,0,155.840,0.000
2,2.000,28.427,28.427,0,0,656.0,48.336,156.00,156.00,31.20,0.135,1,0,140.132,0.000
2,2.000,28.427,28.427,0,0,656.0,48.336,156.00,156.00,31.20,0.135,1,0,124.425,0.000
2,2.000,27.481,27.481,0,0,634.2,46.728,156.00,156.00,31.20,0.135,1,0,108.717,0.000
2,2.000,23.511,23.511,0,0,542.6,39.977,156.00,156.00,31.20,0.135,1,0,93.009,0.000
2,2.000,19.540,19.540,0,0,450.9,33.225,156.00,156.00,31.20,0.135,1,0,77.301,0.000
2,2.000,15.569,15.569,0,0,359.3,26.474,156.00,156.00,31.20,0.135,1,0,61.593,0.000
2,2.000,11.599,11.599,0,0,267.7,19.722,156.00,156.00,31.20,0.135,1,0,45.885,0.000
2,2.000,7.628,7.628,0,0,176.0,12.970,156.00,156.00,31.20,0.135,1,0,30.177,0.000
2,2.000,3.657,3.657,0,0,84.4,6.219,156.00,156.00,31.20,0.135,1,0,14.469,0.000
3,4.000,28.319,28.319,0,0,662.0,48.778,154.00,154.00,30.80,0.170,1,0,234.239,0.000
3,4.000,28.319,28.319,0,0,662.0,48.778,154.00,154.00,30.80,0.170,1,0,218.531,0.000
3,4.000,28.319,28.319,0,0,662.0,48.778,154.00,154.00,30.80,0.170,1,0,202.823,0.000
3,4.000,28.319,28.319,0,0,662.0,48.778,154.00,154.00,30.80,0.170,1,0,187.115,0.000
3,4.000,28.319,28.319,0,0,662.0,48.778,154.00,154.00,30.80,0.170,1,0,171.407,0.000
3,4.000,28.319,28.319,0,0,662.0,48.778,154.00,154.00,30.80,0.170,1,0,155.699,0.000
3,4.000,28.319,28.319,0,0,662.0,48.778,154.00,154.00,30.80,0.170,1,0,139.991,0.000
3,4.000,28.319,28.319,0,0,662.0,48.778,154.00,154.00,30.80,0.170,1,0,124.283,0.000
3,4.000,27.093,27.093,0,0,633.4,46.667,154.00,154.00,30.80,0.170,1,0,108.575,0.000
3,4.000,23.174,23.174,0,0,541.7,39.916,154.00,154.00,30.80,0.170,1,0,92.867,0.000
3,4.000,19.254,19.254,0,0,450.1,33.164,154.00,154.00,30.80,0.170,1,0,77.159,0.000
3,4.000,15.334,15.334,0,0,358.5,26.413,154.00,154.00,30.80,0.170,1,0,61.451,0.000
3,4.000,11.415,11.415,0,0,266.8,19.661,154.00,154.00,30.80,0.170,1,0,45.743,0.000
3,4.000,7.495,7.495,0,0,175.2,12.910,154.00,154.00,30.80,0.170,1,0,30.035,0.000
3,4.000,3.575,3.575,0,0,83.6,6.158,154.00,154.00,30.80,0.170,1,0,14.327,0.000
