layer,z,current_ma,current_required_ma,current_clipped_by_min,current_clipped_by_max,travel_mm_min,wire_mm_s,energy_target_j_mm,energy_actual_j_mm,energy_j_mm3,pause_s,hatch_segments,contour_segments,hatch_length_mm,contour_length_mm
1,0.000,28.528,28.528,0,0,650.0,191.575,158.00,158.00,7.90,0.100,1,0,251.327,0.000
1,0.000,28.528,28.528,0,0,650.0,191.575,158.00,158.00,7.90,0.100,1,0,226.195,0.000
1,0.000,28.528,28.528,0,0,650.0,191.575,158.00,158.00,7.90,0.100,1,0,201.062,0.000
1,0.000,28.528,28.528,0,0,650.0,191.575,158.00,158.00,7.90,0.100,1,0,175.929,0.000
1,0.000,28.528,28.528,0,0,650.0,191.575,158.00,158.00,7.90,0.100,1,0,150.796,0.000
1,0.000,28.528,28.528,0,0,650.0,191.575,158.00,158.00,7.90,0.100,1,0,125.664,0.000
1,0.000,25.738,25.738,0,0,586.4,172.840,158.00,158.00,7.90,0.100,1,0,100.531,0.000
1,0.000,19.303,19.303,0,0,439.8,129.630,158.00,158.00,7.90,0.100,1,0,75.398,0.000
1,0.000,12.869,12.869,0,0,293.2,86.420,158.00,158.00,7.90,0.100,1,0,50.265,0.000
1,0.000,6.434,6.434,0,0,146.6,43.210,158.00,158.00,7.90,0.100,1,0,25.133,0.000
2,5.000,28.444,28.444,0,0,655.0,193.049,156.33,156.33,7.82,0.129,1,0,251.327,0.000
2,5.000,28.444,28.444,0,0,655.0,193.049,156.33,156.33,7.82,0.129,1,0,226.195,0.000
2,5.000,28.444,28.444,0,0,655.0,193.049,156.33,156.33,7.82,0.129,1,0,201.062,0.000
2,5.000,28.444,28.444,0,0,655.0,193.049,156.33,156.33,7.82,0.129,1,0,175.929,0.000
2,5.000,28.444,28.444,0,0,655.0,193.049,156.33,156.33,7.82,0.129,1,0,150.796,0.000
2,5.000,28.444,28.444,0,0,655.0,193.049,156.33,156.33,7.82,0.129,1,0,125.664,0.000
2,5.000,25.466,25.466,0,0,586.4,172.840,156.33,156.33,7.82,0.129,1,0,100.531,0.000
2,5.000,19.100,19.100,0,0,439.8,129.630,156.33,156.33,7.82,0.129,1,0,75.398,0.000
2,5.000,12.733,12.733,0,0,293.2,86.420,156.33,156.33,7.82,0.129,1,0,50.265,0.000
2,5.000,6.367,6.367,0,0,146.6,43.210,156.33,156.33,7.82,0.129,1,0,25.133,0.000
3,10.000,28.356,28.356,0,0,660.0,194.523,154.67,154.67,7.73,0.158,1,0,251.327,0.000
3,10.000,28.356,28.356,0,0,660.0,194.523,154.67,154.67,7.73,0.158,1,0,226.195,0.000
3,10.000,28.356,28.356,0,0,660.0,194.523,154.67,154.67,7.73,0.158,1,0,201.062,0.000
3,10.000,28.356,28.356,0,0,660.0,194.523,154.67,154.67,7.73,0.158,1,0,175.929,0.000
3,10.000,28.356,28.356,0,0,660.0,194.523,154.67,154.67,7.73,0.158,1,0,150.796,0.000
3,10.000,28.356,28.356,0,0,660.0,194.523,154.67,154.67,7.73,0.158,1,0,125.664,0.000
3,10.000,25.195,25.195,0,0,586.4,172.840,154.67,154.67,7.73,0.158,1,0,100.531,0.000
3,10.000,18.896,18.896,0,0,439.8,129.630,154.67,154.67,7.73,0.158,1,0,75.398,0.000
3,10.000,12.597,12.597,0,0,293.2,86.420,154.67,154.67,7.73,0.158,1,0,50.265,0.000
3,10.000,6.299,6.299,0,0,146.6,43.210,154.67,154.67,7.73,0.158,1,0,25.133,0.000
