layer,z,current_ma,current_required_ma,current_clipped_by_min,current_clipped_by_max,travel_mm_min,wire_mm_s,energy_target_j_mm,energy_actual_j_mm,energy_j_mm3,pause_s,hatch_segments,contour_segments,hatch_length_mm,contour_length_mm
1,0.000,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
2,0.500,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
3,1.000,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
4,1.500,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
5,2.000,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
6,2.500,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
7,3.000,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
8,3.500,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
9,4.000,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
10,4.500,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
11,5.000,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
12,5.500,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
13,6.000,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
14,6.500,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
15,7.000,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,256.616,0.000
16,7.500,22.000,22.000,0,0,450.0,4.145,176.00,176.00,352.00,0.000,1,0,245.044,0.000
